Description,,Summary Amt.,,
Beginning balance as of 08/01/2023,,0,,
Total credits,,"15,236.58",,
Total debits,,"-14,234.74",,
Ending balance as of 05/23/2024,,"1,001.84",,
,,,,
Date,Description,Amount,Running Bal.,
8/1/23,Beginning balance as of 08/01/2023,,0,
8/24/23,Counter Credit,100,100,
8/29/23,SQ *OLIVA 08/28 MOBILE PURCHASE Jersey City NJ,-10.18,89.82,
8/30/23,SQ *OLIVA 08/29 MOBILE PURCHASE Jersey City NJ,-4.19,85.63,
8/30/23,SQ *WHISTLE & FIZZ 08/29 MOBILE PURCHASE New York NY,-4.9,80.73,
8/30/23,TARGET 00034116 08/29 MOBILE PURCHASE NEW YORK NY,-24.81,55.92,
9/5/23,Online Banking transfer from SAV 0485 Confirmation# XXXXX83825,7.59,63.51,
9/5/23,KARAKATTA 09/01 MOBILE PURCHASE NEW YORK NY,-23.78,39.73,
9/5/23,MTA*NYCT PAYGO 09/02 MOBILE PURCHASE NEW YORK NY,-2.9,36.83,
9/5/23,MTA*NYCT PAYGO 09/03 MOBILE PURCHASE NEW YORK NY,-2.9,33.93,
9/5/23,SQ *OLIVA 09/03 MOBILE PURCHASE Jersey City NJ,-12.16,21.77,
9/5/23,SQ *BLUE BOTTLE COFFEE 09/03 MOBILE PURCHASE New York NY,-9.21,12.56,
9/5/23,MTA*NYCT PAYGO 09/03 MOBILE PURCHASE NEW YORK NY,-2.9,9.66,
9/5/23,MTA*NYCT PAYGO 09/03 MOBILE PURCHASE NEW YORK NY,-2.9,6.76,
9/5/23,MORTON WILLIAM 09/04 MOBILE PURCHASE NEW YORK NY,-1.67,5.09,
9/6/23,CMSVEND*CV AVENEL 09/05 MOBILE PURCHASE AVENEL NJ,-2.5,2.59,
9/8/23,Online Banking transfer from SAV 0485 Confirmation# XXXXX47724,100,102.59,
9/11/23,CMSVEND*CV AVENEL 09/08 MOBILE PURCHASE AVENEL NJ,-2.6,99.99,
9/11/23,MTA*NYCT PAYGO RECOVER 09/09 PURCHASE 718-330-1234 NY,-2.9,97.09,
9/11/23,MTA*NYCT PAYGO 09/10 MOBILE PURCHASE NEW YORK NY,-2.9,94.19,
9/11/23,LIBERTY NEWS AND GIFTS 09/10 MOBILE PURCHASE NEW YORK NY,-2.25,91.94,
9/11/23,MTA*NYCT PAYGO 09/10 MOBILE PURCHASE NEW YORK NY,-2.9,89.04,
9/11/23,FIV*GONG CHA 09/10 MOBILE PURCHASE NEW YORK NY,-6.26,82.78,
