Description,,Summary Amt.,,
Beginning balance as of 08/01/2023,,0,,
Total credits,,"22,328.83",,
Total debits,,"-16,343.82",,
Ending balance as of 05/23/2024,,"5,985.01",,
,,,,
Date,Description,Amount,Running Bal.,
8/1/23,Beginning balance as of 08/01/2023,,0,
8/24/23,Counter Credit,700,700,
8/25/23,Zelle Transfer Conf# r1agjkion; BOLIN XIAO,-7.5,692.5,
8/28/23,"Zelle payment to FEI WANG for Thank you! FeiFei""; Conf# rlqvx0nbg""",-35,657.5,
8/28/23,Zelle Transfer Conf# jrzir2ys8; ZIYAN LI,-40.2,617.3,
8/28/23,Zelle Transfer Conf# mxpd7wv9l; BOLIN XIAO,-40.2,577.1,
8/31/23,Zelle payment from YUNCHEN ZHANG Conf# jsdzq8zml,690,"1,267.10",
8/31/23,Zelle payment from YUNCHEN ZHANG Conf# pleg5k4nc,10,"1,277.10",
8/31/23,"Zelle payment to Yin Wang for Thank you!yuni""; Conf# nxgzj25dg""",-10,"1,267.10",
8/31/23,Zelle payment to Yin Wang Conf# j47iokcf2,-490,777.1,
9/5/23,Zelle Transfer Conf# nk5a9x0p5; ZihaoWang,-20,757.1,
9/5/23,Zelle Transfer Conf# lia31y3t5; BOLIN XIAO,-200,557.1,
9/5/23,Zelle Transfer Conf# rsra8ho0k; ZHIQI LI,-23,534.1,
9/5/23,Zelle Transfer Conf# l5pjgwp6p; BOLIN XIAO,-9.71,524.39,
9/5/23,Zelle Transfer Conf# roxrbg1he; BOLIN XIAO,-16.8,507.59,
9/5/23,Online Banking transfer to CHK 0472 Confirmation# XXXXX83825,-7.59,500,
9/5/23,Zelle payment to Ugur Ozkusen Conf# od1tr6y2v,-7.61,492.39,
9/5/23,Zelle payment to Ugur Ozkusen Conf# qc4pwce3y,-5,487.39,
9/6/23,Zelle Transfer Conf# bumzzrk65; CHENFEIYU WEN,-2.6,484.79,
9/6/23,Zelle Transfer Conf# b50hjt8fg; CHENFEIYU WEN,-31,453.79,
9/6/23,Zelle Transfer Conf# irupk5bhq; ZihaoWang,-7,446.79,
9/8/23,Online Banking transfer to CHK 0472 Confirmation# XXXXX47724,-100,346.79,
9/11/23,Zelle payment to ZihaoWang Conf# qqvpu3vmq,-24,322.79,
9/11/23,Zelle payment to ZihaoWang Conf# qfa8ul8qm,-22,300.79,
9/11/23,Zelle payment to TIANLE YANG Conf# dqt8frd24,-2.75,298.04,
9/19/23,Zelle payment from XIAOAN LIU Conf# lyyze1rgn,73,371.04,
9/19/23,Zelle payment from MAOYING HAN Conf# k3muyrdvo,72.96,444,
9/19/23,Zelle payment from ZHUOXI WANG Conf# 99a2da5f7,38,482,
9/19/23,Zelle payment from JIALIN GAN Conf# 99a2daed6,37.96,519.96,
9/20/23,Zelle payment from LI WANG Conf# 99a2e5qfc,35,554.96,
9/20/23,Zelle payment to HSIN EN YOUNG Conf# pgnc8bx47,-5,549.96,
9/20/23,Zelle payment to JINGCHENG YU Conf# opust38nw,-5,544.96,
9/21/23,Zelle payment from YULU HE Conf# qyc04hvbw,72.96,617.92,
9/21/23,Zelle payment from YIN WANG Conf# r7qxqs9lt,58.16,676.08,
9/22/23,Zelle payment to JINGCHENG YU Conf# rw22z4fex,-25,651.08,
9/22/23,Zelle payment to XINYANG JIANG Conf# jtgvqz8r4,-100,551.08,
9/22/23,Zelle payment to XINYANG JIANG Conf# kytptkkzp,-100,451.08,
9/25/23,Zelle payment from BOLIN XIAO Conf# 99a2jsg4b,200,651.08,
10/2/23,Zelle payment to YUNCHEN ZHANG Conf# emaw2g1qs,-31.31,619.77,
10/2/23,Zelle payment to HSIN EN YOUNG Conf# jfpns6ve1,-5,614.77,
10/3/23,Online Banking transfer to CHK 0472 Confirmation# XXXXX63077,-500,114.77,
10/13/23,"WIRE TYPE:WIRE IN DATE: 231013 TIME:0445 ET TRN:XXXXXXXXXX158451 SEQ:XXXXXXXXXX539788/196984 ORIG:1/LINE QIU ID:XXXXXXXXXX468849 SND BK:WELLS F ARGO BANK, N.A. ID:0509 PMT DET:XXXXX90714 LIVING FEE CITIZENSHIP OF THE R EMITTER CHINA BIRTH DATE",741.3,856.07,
10/13/23,Wire Transfer Fee,-15,841.07,
10/16/23,Zelle payment from XIYUAN JIANG Conf# rttbegk9w,19,860.07,
10/23/23,"Zelle payment from XIAOAN LIU for Verizon Xiaoan""; Conf# f6vgjio3a""",130.05,990.12,
10/23/23,Zelle payment from YULU HE Conf# kou8n6jtb,121.74,"1,111.86",
10/23/23,"Zelle payment from YIN WANG for verizon""; Conf# fxzainqgs""",71.28,"1,183.14",
10/23/23,"Zelle payment from ZHUOXI WANG for phone bill""; Conf# 99a3yer5y""",44.72,"1,227.86",
10/23/23,Zelle payment from JIALIN GAN Conf# 99a3z3btl,44.72,"1,272.58",
10/23/23,Online Banking transfer to CHK 0472 Confirmation# XXXXX52757,-700,572.58,
10/24/23,Zelle payment from JUNJIE LI Conf# kxk10r6l4,123,695.58,
10/24/23,Online Banking payment to CRD 7416 Confirmation# XXXXX50444,-50.5,645.08,
11/2/23,Zelle payment from MAOYING HAN Conf# nknmcbd2z,103.78,748.86,
11/3/23,"Zelle payment from ZIHAO WANG for Fios""; Conf# kpdwqxibi""",66.66,815.52,
11/3/23,Zelle payment from BOLIN XIAO Conf# lxk1e02yo,66.66,882.18,
11/6/23,Zelle payment from ZHUOXI WANG Conf# 99a4lns39,47.36,929.54,
11/6/23,Zelle payment from YULU HE Conf# kw7vbajwx,32.36,961.9,
11/6/23,"Zelle payment to YULU HE for First bill refund""; Conf# nx7xovmwn""",-72.96,888.94,
11/8/23,Zelle payment from JIALIN GAN Conf# 99a4rji65,110.36,999.3,
11/14/23,"Zelle payment from ZIHAO WANG for PSEG""; Conf# gfchqvq7d""",96.88,"1,096.18",
11/15/23,Online Banking transfer to CHK 0472 Confirmation# XXXXX44737,-500,596.18,
11/15/23,Online Banking payment to CRD 7416 Confirmation# XXXXX51337,-90,506.18,
11/20/23,Online Banking transfer to CHK 0472 Confirmation# XXXXX14651,-150,356.18,
