Date,Description,Amount,Running Bal.,
2023-08-01,Beginning balance as of 08/01/2023,,0,
2023-08-24,Counter Credit,100,100,
2023-08-29,SQ *OLIVA 08/28 MOBILE PURCHASE Jersey City NJ,-10.18,89.82,
2023-08-30,SQ *OLIVA 08/29 MOBILE PURCHASE Jersey City NJ,-4.19,85.63,
2023-08-30,SQ *WHISTLE & FIZZ 08/29 MOBILE PURCHASE New York NY,-4.9,80.73,
2023-08-30,TARGET 00034116 08/29 MOBILE PURCHASE NEW YORK NY,-24.81,55.92,
2023-09-05,Online Banking transfer from SAV 0485 Confirmation# XXXXX83825,7.59,63.51,
2023-09-05,KARAKATTA 09/01 MOBILE PURCHASE NEW YORK NY,-23.78,39.73,
2023-09-05,MTA*NYCT PAYGO 09/02 MOBILE PURCHASE NEW YORK NY,-2.9,36.83,
2023-09-05,MTA*NYCT PAYGO 09/03 MOBILE PURCHASE NEW YORK NY,-2.9,33.93,
2023-09-05,SQ *OLIVA 09/03 MOBILE PURCHASE Jersey City NJ,-12.16,21.77,
2023-09-05,SQ *BLUE BOTTLE COFFEE 09/03 MOBILE PURCHASE New York NY,-9.21,12.56,
2023-09-05,MTA*NYCT PAYGO 09/03 MOBILE PURCHASE NEW YORK NY,-2.9,9.66,
2023-09-05,MTA*NYCT PAYGO 09/03 MOBILE PURCHASE NEW YORK NY,-2.9,6.76,
2023-09-05,MORTON WILLIAM 09/04 MOBILE PURCHASE NEW YORK NY,-1.67,5.09,
2023-09-06,CMSVEND*CV AVENEL 09/05 MOBILE PURCHASE AVENEL NJ,-2.5,2.59,
2023-09-08,Online Banking transfer from SAV 0485 Confirmation# XXXXX47724,100,102.59,
2023-09-11,CMSVEND*CV AVENEL 09/08 MOBILE PURCHASE AVENEL NJ,-2.6,99.99,
2023-09-11,MTA*NYCT PAYGO RECOVER 09/09 PURCHASE 718-330-1234 NY,-2.9,97.09,
2023-09-11,MTA*NYCT PAYGO 09/10 MOBILE PURCHASE NEW YORK NY,-2.9,94.19,
2023-09-11,LIBERTY NEWS AND GIFTS 09/10 MOBILE PURCHASE NEW YORK NY,-2.25,91.94,
2023-09-11,MTA*NYCT PAYGO 09/10 MOBILE PURCHASE NEW YORK NY,-2.9,89.04,
2023-09-11,FIV*GONG CHA 09/10 MOBILE PURCHASE NEW YORK NY,-6.26,82.78,
2023-09-13,MTA*NYCT PAYGO 09/11 MOBILE PURCHASE NEW YORK NY,-2.9,79.88,
2023-09-13,MTA*NYCT PAYGO 09/11 MOBILE PURCHASE NEW YORK NY,-2.9,76.98,
2023-09-13,SQ *UNION SQUARE 09/12 MOBILE PURCHASE New York NY,-7.89,69.09,
2023-09-14,THE STONEWALL INN 09/13 MOBILE PURCHASE NEW YORK NY,-10,59.09,
2023-09-15,MTA*NYCT PAYGO 09/13 MOBILE PURCHASE NEW YORK NY,-2.9,56.19,
2023-09-18,MTA*NYCT PAYGO 09/14 MOBILE PURCHASE NEW YORK NY,-2.9,53.29,
2023-09-18,MTA*NYCT PAYGO 09/14 MOBILE PURCHASE NEW YORK NY,-2.9,50.39,
2023-09-18,MTA*NYCT PAYGO 09/15 MOBILE PURCHASE NEW YORK NY,-2.9,47.49,
2023-09-18,CMSVEND*CV AVENEL 09/15 MOBILE PURCHASE AVENEL NJ,-2.75,44.74,
2023-09-18,MTA*NYCT PAYGO 09/15 MOBILE PURCHASE NEW YORK NY,-2.9,41.84,
2023-09-18,CMSVEND*CV AVENEL 09/16 MOBILE PURCHASE AVENEL NJ,-2.5,39.34,
2023-09-25,VZ WIRELESS VE DES:VZW WEBPAY ID:6244512 INDN:SHIWEI *HE CO ID:XXXXX51800 WEB,-203.84,-164.5,
2023-09-25,VZ WIRELESS VE DES:VZW WEBPAY ID:6485550 INDN:SHIWEI *HE CO ID:XXXXX51800 WEB,-200,-364.5,
2023-09-26,RETURN OF POSTED CHECK / ITEM (RECEIVED ON 09-25) ELECTRONIC TRANSACTION,203.84,-160.66,
2023-09-26,RETURN OF POSTED CHECK / ITEM (RECEIVED ON 09-25) ELECTRONIC TRANSACTION,200,39.34,
2023-10-03,Online Banking transfer from SAV 0485 Confirmation# XXXXX63077,500,539.34,
2023-10-05,VERIZON WRL MY ACCT VN 10/03 PURCHASE XXX-XX20204 CA,-403.84,135.5,
2023-10-10,BKOFAMERICA ATM 10/10 #XXXXX7165 DEPOSIT SOHO NEW YORK NY,"1,000.00","1,135.50",
2023-10-10,FAFU TRADITIONAL CHINES 10/07 MOBILE PURCHASE FLUSHING NY,-10.88,"1,124.62",
2023-10-10,NYU STARBUCKS CAFE 10/07 MOBILE PURCHASE NEW YORK NY,-3.54,"1,121.08",
2023-10-10,MTA*PATH SMART 10/07 PURCHASE NEW YORK NY,-26,"1,095.08",
2023-10-11,SQ *MATTO NYU 10/10 MOBILE PURCHASE New York NY,-2.72,"1,092.36",
2023-10-11,SQ *MATTO NYU 10/10 MOBILE PURCHASE New York NY,-6.44,"1,085.92",
2023-10-11,SQ *CHINELOS TACOSNYC2 10/10 MOBILE PURCHASE Corona NY,-11.98,"1,073.94",
2023-10-11,"Zelle payment to BOLIN XIAO for Pocket money to my son :)""; Conf# ku0yrsx8v""",-200.01,873.93,
2023-10-12,SQ *MATTO APP 10/11 PURCHASE gosq.com NY,-10,863.93,
2023-10-12,SQ *CHINELOS TACOSNYC2 10/11 MOBILE PURCHASE Corona NY,-11.98,851.95,
2023-10-12,VZWRLSS*APOCC VISN 10/12 PURCHASE 800-922-0204 FL,-481.49,370.46,
2023-10-13,SQ *MATTO APP 10/12 PURCHASE gosq.com NY,-10,360.46,
2023-10-13,SQ *CHINELOS TACOS 10/12 MOBILE PURCHASE SOUTH RICHMON NY,-5.44,355.02,
2023-10-16,MCDONALD'S F13654 10/13 MOBILE PURCHASE JERSEY CITY NJ,-8.83,346.19,
2023-10-16,MTA*NYCT PAYGO 10/14 MOBILE PURCHASE NEW YORK NY,-2.9,343.29,
2023-10-16,NYU STARBUCKS CAFE 10/14 MOBILE PURCHASE NEW YORK NY,-4.84,338.45,
2023-10-16,FOOD LOVERS CORP. 10/14 MOBILE PURCHASE ASTORIA NY,-11.5,326.95,
2023-10-16,RED FEAST WINE & LIQUOR 10/14 MOBILE PURCHASE JERSEY CITY NJ,-13.85,313.1,
2023-10-16,DUANE READE #14402 10/14 MOBILE PURCHASE JERSEY CITY NJ,-4.78,308.32,
2023-10-16,CMSVEND*CV AVENEL 10/15 PURCHASE AVENEL NJ,-3.75,304.57,
2023-10-16,MCDONALD'S F10407 10/15 MOBILE PURCHASE NEW YORK NY,-6.85,297.72,
2023-10-17,NYU STARBUCKS CAFE 10/15 MOBILE PURCHASE NEW YORK NY,-4.91,292.81,
2023-10-17,TST* Uncle Teds Modern 10/16 MOBILE PURCHASE New York NY,-43.15,249.66,
2023-10-17,SQ *MATTO APP 10/16 PURCHASE gosq.com NY,-10,239.66,
2023-10-17,CHIPOTLE 0590 10/16 MOBILE PURCHASE NEW YORK NY,-19.6,220.06,
2023-10-18,CHIPOTLE 0590 10/17 MOBILE PURCHASE NEW YORK NY,-11.92,208.14,
2023-10-19,TST* LITTLE BEET - NEWP 10/18 MOBILE PURCHASE JERSEY CITY NJ,-16.85,191.29,
2023-10-19,SQ *MATTO APP 10/18 PURCHASE gosq.com NY,-10,181.29,
2023-10-19,CHIPOTLE 0590 10/18 MOBILE PURCHASE NEW YORK NY,-11.92,169.37,
2023-10-19,MTA*PATH SMART 10/19 PURCHASE NEW YORK NY,-26,143.37,
2023-10-20,MTA*NYCT PAYGO 10/18 MOBILE PURCHASE NEW YORK NY,-2.9,140.47,
2023-10-20,VILLAGE CRAFT BEER & SM 10/18 MOBILE PURCHASE NEW YORK NY,-6.23,134.24,
2023-10-20,CHIPOTLE 0590 10/19 MOBILE PURCHASE NEW YORK NY,-11.92,122.32,
2023-10-20,CHIPOTLE 0590 10/19 MOBILE PURCHASE NEW YORK NY,-11.92,110.4,
2023-10-23,Online Banking transfer from SAV 0485 Confirmation# XXXXX52757,700,810.4,
2023-10-23,SQ *OLIVA 10/20 MOBILE PURCHASE Jersey City NJ,-6.28,804.12,
2023-10-23,MTA*NYCT PAYGO 10/21 MOBILE PURCHASE NEW YORK NY,-2.9,801.22,
2023-10-23,CMSVEND*CV AVENEL 10/21 MOBILE PURCHASE AVENEL NJ,-1.5,799.72,
2023-10-23,CMSVEND*CV AVENEL 10/21 MOBILE PURCHASE AVENEL NJ,-2.5,797.22,
2023-10-23,CMSVEND*CV AVENEL 10/21 MOBILE PURCHASE AVENEL NJ,-1.5,795.72,
2023-10-23,TRADER JOE S # 10/21 MOBILE PURCHASE NEW YORK NY,-73.13,722.59,
2023-10-24,NYU STARBUCKS CAFE 10/22 MOBILE PURCHASE NEW YORK NY,-4.63,717.96,
2023-10-24,TST* ANI RAMEN HOUSE - 10/22 MOBILE PURCHASE JERSEY CITY NJ,-17.96,700,
2023-10-25,MTA*NYCT PAYGO RECOVER 10/24 PURCHASE 718-330-1234 NY,-2.9,697.1,
2023-10-26,MTA*NYCT PAYGO 10/25 MOBILE PURCHASE NEW YORK NY,-2.9,694.2,
2023-10-26,SQ *MATTO APP 10/25 PURCHASE gosq.com NY,-10,684.2,
2023-10-27,MTA*NYCT PAYGO 10/25 MOBILE PURCHASE NEW YORK NY,-2.9,681.3,
2023-10-27,CMSVEND*CV AVENEL 10/26 MOBILE PURCHASE AVENEL NJ,-2.5,678.8,
2023-10-30,GoFundMe Liangchen Jian 10/27 PURCHASE Redwood City CA,-42,636.8,
2023-10-30,SQ *OLIVA 10/27 MOBILE PURCHASE Jersey City NJ,-9.45,627.35,
2023-10-30,UNCLE MOMO 10/28 MOBILE PURCHASE JERSEY CITY NJ,-48.72,578.63,
2023-10-31,CHIPOTLE 0590 10/30 MOBILE PURCHASE NEW YORK NY,-12.19,566.44,
2023-11-02,CVS PHARMACY # 11/01 MOBILE PURCHASE JERSEY CITY NJ,-15.97,550.47,
2023-11-03,MTA*NYCT PAYGO 11/01 MOBILE PURCHASE NEW YORK NY,-2.9,547.57,
2023-11-06,VERIZON BILL PAYMENT 11/03 PURCHASE VERIZON.COM FL,-199.98,347.59,
2023-11-06,NYU STARBUCKS CAFE 11/04 MOBILE PURCHASE NEW YORK NY,-5.72,341.87,
2023-11-06,NYU STARBUCKS CAFE 11/04 MOBILE PURCHASE NEW YORK NY,-4.3,337.57,
2023-11-06,CHIPOTLE 0590 11/04 MOBILE PURCHASE NEW YORK NY,-12.19,325.38,
2023-11-06,CHIPOTLE 0590 11/05 MOBILE PURCHASE NEW YORK NY,-12.19,313.19,
2023-11-07,NYU STARBUCKS CAFE 11/05 MOBILE PURCHASE NEW YORK NY,-5.17,308.02,
2023-11-07,NYU STARBUCKS CAFE 11/05 MOBILE PURCHASE NEW YORK NY,-6.81,301.21,
2023-11-07,SQ *MATTO APP 11/06 PURCHASE gosq.com NY,-10,291.21,
2023-11-07,CMSVEND*CV AVENEL 11/06 PURCHASE AVENEL NJ,-3,288.21,
2023-11-07,Duane Reade ST 11/06 MOBILE PURCHASE JERSEY CITY NJ,-3.49,284.72,
2023-11-07,Duane Reade ST 11/06 MOBILE PURCHASE JERSEY CITY NJ,-8.18,276.54,
2023-11-08,SQ *MATTO APP 11/07 PURCHASE gosq.com NY,-10,266.54,
2023-11-08,Duane Reade ST 11/07 MOBILE PURCHASE JERSEY CITY NJ,-1.99,264.55,
2023-11-09,VILLAGE CRAFT BEER & SM 11/07 MOBILE PURCHASE NEW YORK NY,-9.36,255.19,
2023-11-09,SQ *MATTO APP 11/08 PURCHASE gosq.com NY,-10,245.19,
2023-11-09,CHIPOTLE 0590 11/08 MOBILE PURCHASE NEW YORK NY,-12.19,233,
2023-11-10,SQ *MATTO APP 11/09 PURCHASE gosq.com NY,-20,213,
